"","Date","stock","value","change"
"356",2007-04-17,"MSFT",23.220822,-0.86655416418935
"357",2007-04-17,"IBM",80.636073,-2.38879688498719
"358",2007-04-17,"SBUX",14.220869,-0.193300423483269
"359",2007-04-17,"AAPL",11.953167,0.0553409820175694
"360",2007-04-17,"GSPC",1471.47998,0.0693193257036315
"361",2007-04-18,"MSFT",23.019601,0.314688338863896
"362",2007-04-18,"IBM",78.709841,-0.537977201605574
"363",2007-04-18,"SBUX",14.19338,-0.645575613419772
"364",2007-04-18,"AAPL",11.959782,-0.143806969056792
"365",2007-04-18,"GSPC",1472.5,-0.120205093378603
"366",2007-04-19,"MSFT",23.092041,1.15022747447921
"367",2007-04-19,"IBM",78.2864,0.307562999448181
"368",2007-04-19,"SBUX",14.101751,2.85899247547343
"369",2007-04-19,"AAPL",11.942583,0.775452010674738
"370",2007-04-19,"GSPC",1470.72998,0.926070467401494
"371",2007-04-20,"MSFT",23.357652,-0.82701805815071
"372",2007-04-20,"IBM",78.52718,0.6660993047248
"373",2007-04-20,"SBUX",14.504919,-0.284269081406108
"374",2007-04-20,"AAPL",12.035192,2.79212828511585
"375",2007-04-20,"GSPC",1484.349976,-0.230398629386311
"376",2007-04-23,"MSFT",23.16448,0.0347471646244584
"377",2007-04-23,"IBM",79.050249,3.44501508148319
"378",2007-04-23,"SBUX",14.463686,-0.728534897674067
"379",2007-04-23,"AAPL",12.37123,-0.288742509839366
"380",2007-04-23,"GSPC",1480.930054,-0.0351144200629432
"381",2007-04-24,"MSFT",23.172529,0.694684641456261
"382",2007-04-24,"IBM",81.773542,3.01553649223118
"383",2007-04-24,"SBUX",14.358313,1.59540330399539
"384",2007-04-24,"AAPL",12.335509,2.2629791766193
"385",2007-04-24,"GSPC",1480.410034,1.01390896138711
"386",2007-04-25,"MSFT",23.333505,0.379441494109018
"387",2007-04-25,"IBM",84.239453,-0.551939718791858
"388",2007-04-25,"SBUX",14.587386,-0.0628145440176939
"389",2007-04-25,"AAPL",12.614659,3.66020199198409
"390",2007-04-25,"GSPC",1495.420044,-0.0782418294240786
"391",2007-04-26,"MSFT",23.422042,3.50515552828399
"392",2007-04-26,"IBM",83.774502,0.267588579637272
"393",2007-04-26,"SBUX",14.578223,-1.0056575482485
"394",2007-04-26,"AAPL",13.076381,1.09267235330632
"395",2007-04-26,"GSPC",1494.25,-0.0120497908649776
"396",2007-04-27,"MSFT",24.243021,-0.597611164054181
"397",2007-04-27,"IBM",83.998673,1.02797338238903
"398",2007-04-27,"SBUX",14.431616,-1.52380717447028
"399",2007-04-27,"AAPL",13.219263,-0.120097466855758
"400",2007-04-27,"GSPC",1494.069946,-0.783092587554134
"401",2007-04-30,"MSFT",24.098142,1.53640475684806
"402",2007-04-30,"IBM",84.862157,0.939241975666491
"403",2007-04-30,"SBUX",14.211706,-0.0322410272207939
"404",2007-04-30,"AAPL",13.203387,-0.330657580513234
"405",2007-04-30,"GSPC",1482.369995,0.26511964039045
"406",2007-05-01,"MSFT",24.468387,0.690793389854422
"407",2007-05-01,"IBM",85.659218,-0.920806911872569
"408",2007-05-01,"SBUX",14.207124,0.773942706490063
"409",2007-05-01,"AAPL",13.159729,0.924905064534384
"410",2007-05-01,"GSPC",1486.300049,0.647244478426309
"411",2007-05-02,"MSFT",24.637413,1.17608127119516
"412",2007-05-02,"IBM",84.870462,0.567404711429508
"413",2007-05-02,"SBUX",14.317079,1.18400548044752
"414",2007-05-02,"AAPL",13.281444,0.00996126625989837
"415",2007-05-02,"GSPC",1495.920044,0.432507808552366
"416",2007-05-03,"MSFT",24.927169,-1.32386072401563
"417",2007-05-03,"IBM",85.352021,0.155638962550182
"418",2007-05-03,"SBUX",14.486594,-2.90955210037639
"419",2007-05-03,"AAPL",13.282767,0.408356180606052
"420",2007-05-03,"GSPC",1502.390015,0.214989447996303
"421",2007-05-04,"MSFT",24.597168,0.49083699391735
"422",2007-05-04,"IBM",85.484862,0.194254276271736
"423",2007-05-04,"SBUX",14.065099,-1.14006307385394
"424",2007-05-04,"AAPL",13.337008,3.08501726924059
"425",2007-05-04,"GSPC",1505.619995,0.256371794531066
"426",2007-05-07,"MSFT",24.7179,0.130253783695213
"427",2007-05-07,"IBM",85.65092,0.515760951546117
"428",2007-05-07,"SBUX",13.904748,-0.560132409447479
"429",2007-05-07,"AAPL",13.748457,1.09699583015025
"430",2007-05-07,"GSPC",1509.47998,-0.116597041585148
"431",2007-05-08,"MSFT",24.750096,0.0975632579364511
"432",2007-05-08,"IBM",86.092674,1.0552779438585
"433",2007-05-08,"SBUX",13.826863,-0.463879623310075
"434",2007-05-08,"AAPL",13.899277,1.73234909988483
"435",2007-05-08,"GSPC",1507.719971,0.322340029546511
"436",2007-05-09,"MSFT",24.774243,-0.64977565611187
"437",2007-05-09,"IBM",87.001191,0.287414456199791
"438",2007-05-09,"SBUX",13.762723,-1.66445259415596
"439",2007-05-09,"AAPL",14.140061,0.430387110776965
"440",2007-05-09,"GSPC",1512.579956,-1.39562770987824
"441",2007-05-10,"MSFT",24.613266,1.01372975045246
"442",2007-05-10,"IBM",87.251245,1.24188256568717
"443",2007-05-10,"SBUX",13.533649,0.236964916113896
"444",2007-05-10,"AAPL",14.200918,1.30426075272035
"445",2007-05-10,"GSPC",1491.469971,0.964149817267758
"446",2007-05-11,"MSFT",24.862778,0.258985540553837
"447",2007-05-11,"IBM",88.334803,-0.386869035073285
"448",2007-05-11,"SBUX",13.565719,-2.39783825685907
"449",2007-05-11,"AAPL",14.386135,0.570173990442887
"450",2007-05-11,"GSPC",1505.849976,-0.179297542453189
"451",2007-05-14,"MSFT",24.927169,0.0971831177459473
"452",2007-05-14,"IBM",87.993063,-0.700954119530998
"453",2007-05-14,"SBUX",13.240435,-1.7647078815764
"454",2007-05-14,"AAPL",14.468161,-1.68252205653504
"455",2007-05-14,"GSPC",1503.150024,-0.130398361354777
"456",2007-05-15,"MSFT",24.951394,0.550161646279164
"457",2007-05-15,"IBM",87.376272,0.992082839148823
"458",2007-05-15,"SBUX",13.00678,-0.669243271586037
"459",2007-05-15,"AAPL",14.224731,-0.167405626159121
"460",2007-05-15,"GSPC",1501.189941,0.862653928481117
"461",2007-05-16,"MSFT",25.088667,-0.289668638034851
"462",2007-05-16,"IBM",88.243117,-0.528955703140002
"463",2007-05-16,"SBUX",12.919733,0.95744238677377
"464",2007-05-16,"AAPL",14.200918,1.95640169177796
"465",2007-05-16,"GSPC",1514.140015,-0.0918022762908058
"466",2007-05-17,"MSFT",25.015993,-0.484182258925323
"467",2007-05-17,"IBM",87.77635,2.54486886274037
"468",2007-05-17,"SBUX",13.043432,1.68599031297899
"469",2007-05-17,"AAPL",14.478745,0.5299699663196
